ID,Infection_status,lf_length,lf_width,stem_diameter_mm,fruit_width,fruit_length,transect_number,field_notes,Paired_data_plants,seed_count,seed_count_notes,Seed_count_real_or_predicted,pair_number
D066,Symptomatic,5.9,3.3,,NA,NA,66,,Yes,7.682279,,Predicted_from_lf_length,66
D069,Symptomatic,7.5,5.7,,NA,NA,69,,Yes,10.90124,,Predicted_from_lf_length,69
D070,Symptomatic,7.5,5.3,,NA,NA,70,,Yes,10.90124,,Predicted_from_lf_length,70
D071,Symptomatic,7.7,3.7,,NA,NA,71,,Yes,11.3887,,Predicted_from_lf_length,71
D073,Symptomatic,8,4.8,,NA,NA,73,,Yes,12.16106,,Predicted_from_lf_length,73
D075,Symptomatic,8.3,5.2,,NA,NA,75,,Yes,12.9858,,Predicted_from_lf_length,75
D076,Symptomatic,9.1,6.3,,NA,NA,76,,Yes,15.46898,,Predicted_from_lf_length,76
D077,Symptomatic,9.5,8.5,,6.3,8.5,77,,Yes,16.88333,,Predicted_from_lf_length,77
D078,Symptomatic,12.2,7.4,,NA,NA,78,,Yes,30.47433,,Predicted_from_lf_length,78
D079,Symptomatic,14.8,10.7,,NA,NA,79,,Yes,53.81596,,Predicted_from_lf_length,79
D080,Symptomatic,13.5,8.5,,3.2,7.5,80,,Yes,40.49698,,Predicted_from_lf_length,80
D081,Symptomatic,6.5,3.1,,NA,NA,80,,Yes,8.75961,,Predicted_from_lf_length,81
D092,Symptomatic,6.6,3.9,,4.1,5,36,,Yes,8.953315,,Predicted_from_lf_length,92
D093,Symptomatic,5.3,4.4,,NA,NA,42,,Yes,6.737448,,Predicted_from_lf_length,93
